name,type,career_url
OYO,Unicorn,https://www.oyorooms.com/careers
Treebo,Series B-D,https://www.treebo.com/careers
FabHotels,Series B-D,https://www.fabhotels.com/careers
Zostel,Series B-D,https://www.zostel.com/careers
MakeMyTrip,Unicorn,https://www.makemytrip.com/careers/
Goibibo,Series B-D,https://www.goibibo.com/careers/
Cleartrip,Series B-D,https://www.cleartrip.com/careers
Yatra,Series B-D,https://www.yatra.com/careers
ixigo,Series B-D,https://www.ixigo.com/careers
EaseMyTrip,Series B-D,https://www.easemytrip.com/careers
TravelTriangle,Series B-D,https://traveltriangle.com/careers
Thrillophilia,Series B-D,https://www.thrillophilia.com/careers
OfBusiness,Unicorn,https://www.ofbusiness.com/careers
Bijnis,Series B-D,https://www.bijnis.com/careers
ShopKirana,Series B-D,https://www.shopkirana.com/careers
Jumbotail,Series B-D,https://www.jumbotail.com/careers
Ninjacart,Series B-D,https://www.ninjacart.in/careers
WayCool,Series B-D,https://www.waycool.in/careers
Crofarm,Series B-D,https://crofarm.com/careers
DeHaat,Series B-D,https://www.dehaat.in/careers
AgroStar,Series B-D,https://www.agrostar.in/careers
BigHaat,Series B-D,https://www.bighaat.com/careers
Gramophone,Series B-D,https://www.gramophone.in/careers
Agrowave,Series B-D,https://agrowave.in/careers
Ergos,Series B-D,https://ergos.in/careers
Stellapps,Series B-D,https://stellapps.com/careers
Intello Labs,Series B-D,https://intellolabs.com/careers
Keka,Series B-D,https://www.keka.com/careers
GreytHR,Series B-D,https://www.greythr.com/careers
SumHR,Series B-D,https://www.sumhr.com/careers
Zimyo,Series B-D,https://www.zimyo.com/careers
Pocket HRMS,Series B-D,https://www.pockethrms.com/careers
Qandle,Series B-D,https://www.qandle.com/careers
Beehive,Series B-D,https://www.beehive.ai/careers
Kredily,Series B-D,https://kredily.com/careers
Zoho People,Series B-D,https://www.zoho.com/people/careers.html
CleverTap,Series B-D,https://clevertap.com/careers/
WebEngage,Series B-D,https://webengage.com/careers/
MoEngage,Series B-D,https://www.moengage.com/careers/
Netcore Cloud,Series B-D,https://netcorecloud.com/careers/
Insider,Series B-D,https://useinsider.com/careers/
Wigzo,Series B-D,https://www.wigzo.com/careers
Vizury,Series B-D,https://www.vizury.com/careers
Vserv,Series B-D,https://www.vserv.com/careers
AdPushup,Series B-D,https://www.adpushup.com/careers
Taboola India,Series B-D,https://www.taboola.com/careers
Outbrain India,Series B-D,https://www.outbrain.com/careers
LambdaTest,Series B-D,https://www.lambdatest.com/careers
Testsigma,Series B-D,https://testsigma.com/careers
Hevo Data,Series B-D,https://hevodata.com/careers
Atlan,Series B-D,https://atlan.com/careers/
Hasura,Series B-D,https://hasura.io/careers/
Appsmith,Series B-D,https://www.appsmith.com/careers
Dyte,Series B-D,https://dyte.io/careers
100ms,Series B-D,https://www.100ms.live/careers
Agora India,Series B-D,https://www.agora.io/en/careers/
Securin,Series B-D,https://www.securin.io/careers/
CloudSEK,Series B-D,https://cloudsek.com/careers
Lucideus,Series B-D,https://www.lucideus.com/careers
Quick Heal,Series B-D,https://www.quickheal.co.in/careers
K7 Computing,Series B-D,https://www.k7computing.com/careers
Sequretek,Series B-D,https://www.sequretek.com/careers
Paladion,Series B-D,https://www.paladion.net/careers
Aujas,Series B-D,https://www.aujas.com/careers
Haptik,Series B-D,https://www.haptik.ai/careers
Yellow.ai,Series B-D,https://yellow.ai/careers/
Verloop.io,Series B-D,https://verloop.io/careers/
Uniphore,Unicorn,https://www.uniphore.com/careers
Skit.ai,Series B-D,https://skit.ai/careers/
Vernacular.ai,Series B-D,https://vernacular.ai/careers
Mad Street Den,Series B-D,https://www.madstreetden.com/careers
SigTuple,Series B-D,https://sigtuple.com/careers
Niramai,Series B-D,https://www.niramai.com/careers
Qure.ai,Series B-D,https://qure.ai/careers.html
Ather Energy,Unicorn,https://www.atherenergy.com/careers
Ola Electric,Unicorn,https://olaelectric.com/careers
Revolt Motors,Series B-D,https://www.revoltmotors.com/careers
Sun Mobility,Series B-D,https://www.sunmobility.co.in/careers
Lithion Power,Series B-D,https://lithionpower.com/careers
Log9 Materials,Series B-D,https://www.log9materials.com/careers
ReNew Power,Unicorn,https://www.renewpower.in/careers/
CleanMax Solar,Series B-D,https://cleanmaxsolar.com/careers/
Fourth Partner Energy,Series B-D,https://www.fourth-partner-energy.com/careers
Digit Insurance,Unicorn,https://www.godigit.com/careers
Go Digit,Unicorn,https://www.godigit.com/careers
Turtlemint,Series B-D,https://www.turtlemint.com/careers
RenewBuy,Series B-D,https://www.renewbuy.com/careers
Coverfox,Series B-D,https://www.coverfox.com/careers
InsuranceDekho,Series B-D,https://www.insurancedekho.com/careers
Upstox,Unicorn,https://upstox.com/careers/
Angel One,Unicorn,https://www.angelone.in/careers
5paisa,Series B-D,https://www.5paisa.com/careers
Smallcase,Series B-D,https://smallcase.com/careers
Scripbox,Series B-D,https://scripbox.com/careers/
ET Money,Series B-D,https://www.etmoney.com/careers
Paytm Money,Series B-D,https://www.paytmmoney.com/careers
INDmoney,Series B-D,https://www.indmoney.com/careers
Fi Money,Series B-D,https://fi.money/careers
Signzy,Series B-D,https://signzy.com/careers/
IDfy,Series B-D,https://idfy.com/careers/
Digio,Series B-D,https://www.digio.in/careers
Leegality,Series B-D,https://www.leegality.com/careers
SpotDraft,Series B-D,https://www.spotdraft.com/careers
